,Latitude,Longitude,Absolute elevation,Distance from Coast,AP1,AP2,DT1,DT2,HTM,LTM,AC1,AC2,LC1,LC2,RFL,RH1,RH2,WSD
NANDURBAR,21.33,74.25,206,141.98,992.4,988.2,19.3,27.8,33.7,11.5,0.4,0.2,0.2,0.1,1.8,51,32,6.1
NANDYAL,15.47,78.48,212,172.39,991.1,987.1,21.3,29.5,34.2,13.7,1,1.1,0.5,0.6,1,76,46,4.9
NARNAUL,28,76.08,308,713.18,983.4,979.9,11.2,16,25.8,1.9,,,,,12.8,58,40,
NARSAPUR,16.43,81.7,4,7.85,1015.1,1011.8,21.9,26,30.5,17.4,1.5,1.7,0.7,0.6,15,88,69,1.7
NARSINGHPUR,22.95,79.18,356,648.31,976.2,972.6,12.5,25,31.7,4.6,1.6,1.5,0.9,0.7,19.9,77,43,
NELLORE,14.45,79.98,20,20.71,1013.3,1010.1,22.6,26.8,32.3,18.3,2.5,2.4,1.2,1.1,9.7,86,65,5
NEW DELHI (PALAM) (A),28.57,77.12,233,818.09,990.4,988.2,9.3,18.5,25.4,3.1,2.9,2.5,1,0.6,18.6,82,49,5.9
NEW DELHI (SAFDARJANG),28.58,77.2,216,827.02,992.2,989.9,9.7,18.7,25.3,4.2,2.7,2.5,1.1,0.7,20.8,80,47,7.3
NEW KANDLA,23,70.22,14,0.9,1015.5,1012.6,15.4,24.4,29.2,10.6,1.1,1,0.2,0.1,0.8,60,40,10.4
NIDADAVOLU,16.92,81.67,13,61.64,1014.9,1011.5,21.4,27.1,31.7,15.7,1.3,1.6,0.4,0.5,4.3,85,64,6.1
NIMACH,24.47,74.9,496,318.02,960.4,957.7,13.2,23.2,28.9,5.8,1.4,1.4,0.6,0.5,3,59,34,4.6
NIZAMABAD,18.67,78.1,381,402.61,972.7,968.8,19.8,27.9,33.4,10.4,1.8,2.2,0.5,0.8,10.2,69,41,3.8
NORTH LAKHIMPUR,27.23,94.12,102,565.36,1006.3,1002.5,15.5,17.3,26.5,5.4,3.1,3.5,1.2,1.1,37.7,80,75,3
NOWGONG,25.07,79.45,229,735.2,991.2,988,12.1,22,29.1,3,1.5,1.6,0.6,0.4,15.2,79,53,1.6
OKHA,22.48,69.12,7,0,1016.3,1013.8,20.2,22.8,26.5,16.1,1.2,1,0.2,0.1,1.8,66,62,15.2
ONGOLE,15.57,80.05,12,16.9,1014.3,1010.8,22,26.8,32.9,18.1,2.2,2,0.8,0.5,16.6,85,64,4.3
ORAI,25.98,79.5,141,786.1,1004.2,1000.3,13.6,20.3,26,3.4,1.5,1.5,1.4,1.1,7.8,59,47,
OSMANABAD,18.17,76.05,663,307.21,,,19.6,27,31.8,11,0.9,1.2,0.7,1,11.4,65,43,5
OZAR,20.13,73.92,608,114.52,946.9,943.7,14,26.8,32.4,5.1,1.4,1.5,0.2,0.6,1.6,65,29,5.9
PACHMARHI,22.47,78.43,1075,568.24,897.4,895.3,13.3,19.8,25.1,2.1,1.6,1.6,0.7,0.6,14.1,66,49,3.2
PAHALGAM,34.03,75.33,2310,1328.77,,,-5.1,0.3,8.3,-14.6,4.7,5.4,3,3.6,98.6,89,84,
PALAKKAD,10.77,76.65,97,68.56,1002.6,998,24.2,31.1,35.2,18.9,2.2,2.4,1,1,2.8,73,46,
PALAYAMKOTTAI,8.73,77.75,51,40.88,1009.1,1005,24.4,29,33.6,20.1,4.9,4.4,2.3,2.2,17.5,80,65,6.2
PAMBAN,9.27,78.3,11,1.96,1012.8,1009.6,25.9,27,30.6,21.5,4.4,3.7,2.7,0.9,58,78,74,16.1
PANCHET HILLS,23.62,86.78,119,200.19,,,16.5,21.8,27.6,9,0.7,1,0.1,0.1,13.2,72,56,0.9
PANJIM,15.48,73.82,60,0.79,1006.8,1003.5,21.8,28.3,34.6,17.6,2,2,0.2,0.3,0.4,77,56,8.9
PANNA,24.72,80.17,354,777.67,970.5,967.6,14.5,19.9,28,3.2,1.7,1.5,1.5,1.3,20.1,67,50,3.6
PANTNAGAR,29.03,79.47,233,998.82,990.4,988,10.3,16.6,24.8,1.2,3.1,2.5,1.7,0.7,27.8,87,68,
PARADIP PORT,20.3,86.68,8,0.05,1015.8,1012.5,20.5,22.9,29.4,12.2,1.2,1.1,0.3,0.2,10.8,78,70,9.4
PARANGIPETTAI (PORT NOVO),11.5,79.77,3,0.63,1014,1011.1,24.4,27.1,29.8,18.5,3.8,3.3,1.8,1.3,31.8,82,72,6.1
PARBHANI,19.27,76.83,423,396.67,967.9,964.2,17.7,28.1,33.3,10.2,1.3,1.7,0.6,0.9,4.8,59,34,3.2
PASIGHAT,28.1,95.38,157,713.22,999.4,995.9,15.6,16.1,26.5,9.3,3.6,3.7,1.5,1.5,42.8,70,77,11.4
PATIALA,30.33,76.47,251,964.56,987.2,985.4,8.1,16.6,23.2,3,3.1,2.8,1.2,0.9,30.9,89,62,5
PATNA (A),25.6,85.1,60,478.75,1010.3,1007.1,13.1,19.2,26.9,5.4,1.9,1.8,0.6,0.4,12.2,82,64,1.8
PENDRA,22.77,81.9,625,498.06,946.3,943.5,14.7,20.9,28.3,6.7,1.8,2.2,0.7,1.1,339,66,49,3.2
PHALODI,27.13,72.37,234,505.38,990.5,988.6,10.1,22.5,29.5,2.7,1.3,1.4,0.2,0.2,1.3,64,35,5.3
PHULBANI,20.48,84.27,489,145.74,961.9,959,16,23,30,3.5,0.2,0.3,0.1,0.2,12.2,77,57,1.2
PILANI,28.33,75.58,301,726.28,982.9,980.7,8.6,20.2,27.1,1,1.9,2.1,1,0.8,9.6,77,41,4.1
PONDICHERRY,11.92,79.83,6,0.05,1014.8,1011.4,24.9,26.9,30,20,4.6,3.9,2.2,1.4,12.3,82,78,13.2
PORBANDAR (A),21.65,69.67,7,5.91,1015.5,1012.4,16.5,26.4,32.8,9.1,0.8,0.7,0.1,0.1,1,62,43,10.7
PORT BLAIR,11.67,92.72,79,0.06,1004.9,1002.2,26.9,25.9,30.5,18.1,4.2,4.8,2.4,2.6,37.2,72,74,6.6
PUNALUR,9,76.92,34,27.15,1009.1,1005,23.5,31.7,35.9,18.3,4.4,4.7,2.3,2.5,12.7,80,48,2.9
PUNASA,22.23,76.4,267,359,,,16.7,24,31.7,,,,,,1,64,52,
PUNE,18.53,73.85,559,84.04,952.5,948.7,14.2,27.4,32.4,6.8,1.8,2.4,0.3,0.9,1,82,33,2.6
PUNE (WANORIE),18.5,73.9,594.4,88.21,948.4,945.7,16.1,27.1,32.8,9.6,,,,,0.2,71,47,4.4
PURI,19.8,85.82,6,1.06,1016.3,1012.9,21.2,24.1,29.8,13.9,1.5,1.5,0.5,0.4,12.7,76,72,8.9
