,Latitude,Longitude,Absolute elevation,Distance from Coast,AP1,AP2,DT1,DT2,HTM,LTM,AC1,AC2,LC1,LC2,RFL,RH1,RH2,WSD
BAGALKOTE,16.7,75.25,524,194.71,956.3,952.4,19.6,29,32.6,11.2,,,,,2.3,74,62,
BAGATI,22.98,88.37,12,89.7,1014.9,,16.8,21.6,29.2,8.6,0.7,0.5,0.4,0.3,12.2,79,60,1.5
BAGRATAWA,22.63,77.98,331,522.46,,,14.8,23.6,31.1,5,1.5,1.2,1,0.7,15.6,66,44,4.2
BAHRAICH,27.57,81.6,124,870.93,1002.7,1000,11.5,18.5,26.6,5.2,2.6,2.3,1.7,1.1,18.1,85,66,3.3
BAILALDILA,18.58,81.23,1144,202.5,890.3,,18.1,,25.5,10.8,0.9,,0.4,,13.6,59,,9.2
BALASORE,21.52,86.93,20,12.17,1014.9,1011.1,18.4,22.4,30.8,10.5,2.1,2.1,0.7,0.7,13.4,68,63,4.2
BALEHONNUR,13.37,75.45,885,78.83,,,18.5,,31.2,10.6,,,,,3.2,77,,
BALLIA,25.75,84.17,64,555.14,1010,1007.2,12.7,18.2,25.6,4.6,0.3,0.6,0.3,0.2,11.2,83,68,
BALURGHAT,25.22,88.78,26,334.71,1012.4,1009.8,16.5,20.1,27.8,7.9,0.9,1,0.8,0.9,8,76,68,
BANDA,25.47,80.37,121,828.86,1004.3,1000.9,13.5,20.5,28.4,5.3,1.9,1.4,1,0.5,14.8,74,59,1.4
BANGALORE,12.97,77.58,921,261.94,913.1,909.9,17.8,25.1,30.4,12.8,3.2,2.8,1.9,1.1,1.8,80,39,7.3
BANGALORE (A),12.95,77.63,897,263.72,915.5,912.1,17.2,25.3,29.9,10.9,3.8,2.8,2.2,1,1.8,86,42,5.7
BANIHAL,33.5,75.17,1630,1267.66,838.7,837.4,2.2,6.5,16.5,-4.7,4.1,4.3,2.2,2.3,159.7,75,57,
BANKURA,23.23,87.07,100,148.46,1004.5,1002.5,19.2,23.4,29.8,8.2,1.2,0.9,0.3,0.2,17.5,66,55,1.7
BANSWARA,23.55,74.45,220,212.74,990.9,987.7,15.6,25.7,31.5,8,0.9,0.9,0.3,0.4,3.4,53,34,3.2
BAPATLA,15.9,80.47,6,7.37,1015.2,1011.8,21,26.4,31.3,14.6,2.4,2.3,1,0.8,11.7,90,64,4.9
BARAMATI,18.15,74.58,551,157.22,953.4,949.4,16.8,29.1,32.7,9.2,0.8,0.9,0.3,0.4,0.6,58,30,5.1
BHARATPUR,27.22,77.5,176,719.91,997.7,994.9,10.2,19.8,26.4,3.6,1.5,1.5,0.8,0.8,8.8,80,55,2.3
BAREILLY,28.37,79.4,173,941.21,996.6,994.2,10.8,18.2,25.5,5,2.6,2.3,1.4,1,20,85,61,2.6
BARIPADA,21.93,86.77,54,54.96,1011.9,1009.2,17.6,22.4,31.3,8.5,1.3,1.6,0.5,0.6,14,73,58,0.8
BARMER,25.75,71.38,194,322.71,994.7,991.9,12.4,24,30.2,6,1.8,1.9,0.3,0.3,1.2,54,30,4.3
BARODA,22.3,73.25,34,34.94,1011.9,1008.8,14.3,27.5,34.2,9.1,1,0.9,0.2,0.1,0.8,68,32,4.5
BARODA (A),22.33,73.27,38,37.5,1011.5,1008.1,15.5,27.3,33.5,8.1,1,1,0.1,0.1,0.5,64,35,8
BATOTE,33.12,75.32,1585,1228.98,,,3.1,6.5,16.4,-2.5,3.9,4.1,2.3,2.4,161,72,66,1.9
BEED (BIR),19,75.72,519,279,957.5,953.7,16.8,28.2,32.7,8.7,1.5,2,0.5,0.9,2.6,69,39,2.1
BELGAUM,15.85,74.53,753,82.25,931,,17.7,,33,10.7,,,,,0.3,,71,4.6
BELGAUM SAMRA (A),15.85,74.62,747,91.67,931.4,928.1,18.4,27.8,31.8,10.4,1.5,1.7,0.2,0.7,0.2,63,30,4.7
BELLARY,15.15,76.85,449,270.56,963.8,959.8,20.6,29.2,33.8,12.5,,,,,1.3,73,43,4.1
BERHAMPORE,24.13,88.27,19,213.08,1014.6,1011,16.9,21.2,29.1,8.8,0.6,0.5,0.2,0.1,8.1,75,62,0.2
BETUL,21.87,77.93,653,517.1,942.4,939.7,13.8,23.6,30.7,5,1.7,1.8,0,0.1,13.4,72,41,3.1
BHAGALPUR,25.23,86.95,49,351.74,1012.6,1009.1,14.9,20.1,28.2,9,1.6,1.6,0.6,0.5,13.7,81,68,3.1
BHATINDA,30.17,74.58,211,893.48,992.9,991,10,17.8,24.1,1.3,,,,,15.6,73,47,2.2
